"subject_id","condition","character","decision_speed","moral_score"
"094cemsnfu","moral","Justin","quick",5
"094cemsnfu","moral","Nate","slow",4
"0op8mprq6s","moral","Justin","quick",5.33333333333333
"0op8mprq6s","moral","Nate","slow",3.33333333333333
"0sjkxnlm62","immoral","Justin","quick",2
"0sjkxnlm62","immoral","Nate","slow",5
"2swm7cgrpt","immoral","Justin","quick",0.666666666666667
"2swm7cgrpt","immoral","Nate","slow",2.66666666666667
"372tyxbyru","immoral","Justin","quick",0
"372tyxbyru","immoral","Nate","slow",1.66666666666667
"3j403xs8qf","immoral","Justin","quick",2
"3j403xs8qf","immoral","Nate","slow",2
"3kbj83xgc1","moral","Justin","quick",5
"3kbj83xgc1","moral","Nate","slow",3.33333333333333
"3kn8968726","immoral","Justin","quick",3.66666666666667
"3kn8968726","immoral","Nate","slow",4.33333333333333
"3ydo1b2wlw","immoral","Justin","quick",2.66666666666667
"3ydo1b2wlw","immoral","Nate","slow",4
"4n6acud4gh","immoral","Justin","quick",3.33333333333333
"4n6acud4gh","immoral","Nate","slow",4.66666666666667
"4ovnj9j4w6","moral","Justin","quick",5.33333333333333
"4ovnj9j4w6","moral","Nate","slow",3.33333333333333
"52qc5y6cqd","moral","Justin","quick",5
"52qc5y6cqd","moral","Nate","slow",4.66666666666667
"5o72j0etag","moral","Justin","quick",6
"5o72j0etag","moral","Nate","slow",4
"5v1qrpqbax","moral","Justin","quick",6
"5v1qrpqbax","moral","Nate","slow",3.33333333333333
"5z719hs922","immoral","Justin","quick",2
"5z719hs922","immoral","Nate","slow",3
"6d3f7cssju","moral","Justin","quick",6
"6d3f7cssju","moral","Nate","slow",4
"6jnafm62zy","immoral","Justin","quick",2.33333333333333
"6jnafm62zy","immoral","Nate","slow",2.66666666666667
"71qkoq3tm2","moral","Justin","quick",5.66666666666667
"71qkoq3tm2","moral","Nate","slow",5.33333333333333
"7yeuanfo9o","immoral","Justin","quick",1
"7yeuanfo9o","immoral","Nate","slow",3.33333333333333
"891w0824pj","moral","Justin","quick",5.33333333333333
"891w0824pj","moral","Nate","slow",4.33333333333333
"8xvbt86njg","immoral","Justin","quick",3
"8xvbt86njg","immoral","Nate","slow",3
"98ptclwph5","moral","Justin","quick",5
"98ptclwph5","moral","Nate","slow",3
"9e2s2oovya","moral","Justin","quick",5.66666666666667
"9e2s2oovya","moral","Nate","slow",4
"a0mvgc2sm9","immoral","Justin","quick",4
"a0mvgc2sm9","immoral","Nate","slow",4.33333333333333
"a68krropte","moral","Justin","quick",5
"a68krropte","moral","Nate","slow",4.33333333333333
"afvks50558","immoral","Justin","quick",2.33333333333333
"afvks50558","immoral","Nate","slow",2.66666666666667
"atn0xpkuw0","moral","Justin","quick",5
"atn0xpkuw0","moral","Nate","slow",4.33333333333333
"b5ge90vfel","immoral","Justin","quick",0.333333333333333
"b5ge90vfel","immoral","Nate","slow",1.66666666666667
"bh6fx4qytk","immoral","Justin","quick",2
"bh6fx4qytk","immoral","Nate","slow",4.33333333333333
"bhm8utx78k","moral","Justin","quick",5.33333333333333
"bhm8utx78k","moral","Nate","slow",3.66666666666667
"bqlpq9cj9z","moral","Justin","quick",6
"bqlpq9cj9z","moral","Nate","slow",4.33333333333333
"bzfdqv7oee","immoral","Justin","quick",2.33333333333333
"bzfdqv7oee","immoral","Nate","slow",3.66666666666667
"d6c26qtblj","moral","Justin","quick",5.66666666666667
"d6c26qtblj","moral","Nate","slow",6
"dq9cyyjmrq","moral","Justin","quick",5
"dq9cyyjmrq","moral","Nate","slow",3.33333333333333
"ea73d8n6wx","immoral","Justin","quick",4
"ea73d8n6wx","immoral","Nate","slow",4
"eljo3bsd09","immoral","Justin","quick",3
"eljo3bsd09","immoral","Nate","slow",4.33333333333333
"f0p6yjnvnd","immoral","Justin","quick",1
"f0p6yjnvnd","immoral","Nate","slow",2.66666666666667
"f4c0fwcoa2","immoral","Justin","quick",1.66666666666667
"f4c0fwcoa2","immoral","Nate","slow",4.66666666666667
"gumx2r1nqc","moral","Justin","quick",6
"gumx2r1nqc","moral","Nate","slow",6
"gydu316cdf","moral","Justin","quick",6
"gydu316cdf","moral","Nate","slow",4
"hkhnhjgm40","immoral","Justin","quick",1.33333333333333
"hkhnhjgm40","immoral","Nate","slow",4.66666666666667
"hqmr7gw9lv","immoral","Justin","quick",3
"hqmr7gw9lv","immoral","Nate","slow",3.66666666666667
"hslcdn170a","immoral","Justin","quick",2
"hslcdn170a","immoral","Nate","slow",4.33333333333333
"ht2x6y08lx","moral","Justin","quick",5
"ht2x6y08lx","moral","Nate","slow",4.33333333333333
"jara5oxllj","immoral","Justin","quick",0.666666666666667
"jara5oxllj","immoral","Nate","slow",3
"jjca4nrhxa","immoral","Justin","quick",2.66666666666667
"jjca4nrhxa","immoral","Nate","slow",4
"jlabkyzekz","moral","Justin","quick",3.33333333333333
"jlabkyzekz","moral","Nate","slow",1.66666666666667
"jrzvx1vf4l","moral","Justin","quick",5
"jrzvx1vf4l","moral","Nate","slow",5
"jx3v16r352","moral","Justin","quick",5
"jx3v16r352","moral","Nate","slow",4.66666666666667
"k3t3rlmkse","moral","Justin","quick",5
"k3t3rlmkse","moral","Nate","slow",4.66666666666667
"kmokqbwmfu","immoral","Justin","quick",1
"kmokqbwmfu","immoral","Nate","slow",3
"kqpgx5wslr","moral","Justin","quick",5
"kqpgx5wslr","moral","Nate","slow",4
"l22786or25","moral","Justin","quick",6
"l22786or25","moral","Nate","slow",1
"l4hazvpbjp","moral","Justin","quick",4.66666666666667
"l4hazvpbjp","moral","Nate","slow",3.66666666666667
